step,ref_x,ref_y,sim_x,sim_y,err_x,err_y,u_x,u_y
0,-0.2687201379137996,0.10032081692292531,-0.25967716568665233,0.1135893371215119,0.009042972227147283,0.013268520198586584,6.107833476782867,-9.823128126400679
1,-0.4561713230230813,-0.004166929167640068,-0.39987860307973133,0.02901423639784849,0.056292719943349945,0.03318116556548856,40.085503431789014,-28.191783317712737
2,-0.73604723193421,-0.13175852083458403,-0.6443568435632755,-0.0887120026853758,0.09169038837093446,0.043046518149208235,70.84710727643402,-40.12387948259457
3,-0.9493810273632085,-0.18248797991117055,-0.8723602483447283,-0.16146114010986456,0.07702077901848026,0.021026839801305985,65.70708886062496,-25.58635575719175
4,-1.0216565835707883,-0.06566431773786469,-0.9902703331196758,-0.09901653261427323,0.03138625045111243,-0.03335221487640855,33.81304663818696,17.769456048880212
5,-0.9567403275855628,0.10492561032412831,-0.9750274755200113,0.04643614851563544,-0.018287147934448522,-0.05848946180849287,-5.841670332908154,45.50209958436666
6,-0.7858701387999723,0.2514671085314642,-0.8447510392967084,0.19647071901115593,-0.05888090049673611,-0.054996389520308275,-41.13987359321736,49.13332238851307
7,-0.6977494784029112,0.40489501932081146,-0.7385147027123922,0.34904008098603634,-0.04076522430948093,-0.05585493833477512,-33.346534362700496,48.58991623166037
8,-0.7545001413713144,0.5502580173340901,-0.7481823970513801,0.49738346186987414,0.00631774431993426,-0.05287455546421593,2.5596022379079932,43.69619575369321
9,-0.7269619120586637,0.6379798290675045,-0.7376139131153325,0.603516197113728,-0.010652001056668858,-0.03446363195377655,-4.492211168298642,31.1036356327073
10,-0.6659971779151526,0.6437030337673735,-0.68952147981533,0.6373543534942202,-0.023524301900177402,-0.006348680273153273,-17.369938218100323,10.189824336976857
11,-0.5926628976398531,0.6488203570108128,-0.6219284890441384,0.6475982839935744,-0.029265591404285307,-0.001222073017238312,-23.636555092448432,3.5051465109014326
12,-0.6130687984144438,0.6816789960754462,-0.6149417599286562,0.673092623243084,-0.0018729615142123457,-0.008586372832362188,-4.443206004853905,6.389593198299978
13,-0.7808583443375341,0.9001445164072127,-0.7336690354406666,0.8347074838075753,0.047189308896867455,-0.0654370325996374,36.942768803726345,43.54023415968331
14,-0.9398049307003112,1.1186543637288566,-0.8869534862824682,1.0438841948114739,0.05285144441784306,-0.07477016891738275,48.2092108388998,56.43052968994113
15,-1.1122656224139047,1.2933370406479927,-1.0544939781154579,1.2304449900863408,0.057771644298446834,-0.06289205056165192,51.93113695937692,49.0076085493463
16,-1.2754858008767254,1.3304551982068102,-1.2196031001090475,1.311041855069072,0.05588270076767787,-0.019413343137738348,49.00651688024677,17.430044628051537
17,-1.4526922748949047,1.1810552865867052,-1.393030978313964,1.2250924299697097,0.05966129658094066,0.04403714338300446,48.135149948473256,-32.19958732828817
18,-1.5738126861526802,0.9731518197651003,-1.5307383719652194,1.0455314376893958,0.04307431418746077,0.07237961792429548,34.864752783504485,-58.8550644074876
19,-1.5501655146292612,0.8620720708229559,-1.5539835512412976,0.9099972581108257,-0.0038180366120363907,0.047925187287869764,0.03665049057254896,-42.57712828939474
20,-1.346702833683102,0.9016296672274995,-1.4130950646208262,0.8998075001581822,-0.06639223093772428,-0.0018221670693172598,-48.185859013389035,-0.9690051927805181
21,-1.1347660495492489,1.0463987573154698,-1.2147192966890963,1.0042966638848076,-0.07995324713984742,-0.04210209343066218,-63.450674136828866,34.5705165534479
22,-0.896075128198609,1.0930151776478187,-0.9859337335957683,1.0737192970421048,-0.08985860539715929,-0.019295880605713966,-73.02575806568973,24.627168402223912
23,-0.6689780384318977,0.9959598327653888,-0.7564526108239888,1.0240268724632735,-0.08747457239209111,0.02806703969788471,-75.0,-11.07550070967698
24,-0.4451217398497219,0.9115183021730773,-0.5305522515177976,0.9440699274659377,-0.08543051166807569,0.032551625292860376,-73.92158846959786,-20.318308622079453
25,-0.2674435687419785,0.716542802264049,-0.3379095803582221,0.7830566118496397,-0.0704660116162436,0.06651380958559072,-64.5946460338926,-45.320714410806744
26,-0.07354789922049587,0.4976325859967433,-0.14555709171088638,0.5768335040222965,-0.0720091924903905,0.07920091802555318,-64.72817167386451,-58.527138806032625
27,0.061522397371988724,0.3367225667906513,0.007692438300310189,0.4000449821282213,-0.053829959071678535,0.06332241533756999,-51.323966077955696,-50.27235209384156
28,0.15778824107672595,0.3036680488465121,0.11943554843955573,0.3252725534347515,-0.03835269263717023,0.02160450458823937,-35.82563177285318,-20.462125092802232
29,0.2225374613432538,0.46753876250943843,0.19682891975317418,0.4226882601609014,-0.025708541590079625,-0.04485050234853705,-21.299089037489885,30.037675951060837
