trajectory_id,steps,fs_edmd_rmse,edmd_rmse,edmd_dl_rmse
6,299,4.197732100325391,2.5600091179231454,0.9858827166071266
12,299,3.083123521085773,2.5959785071221217,1.0380722983938604
32,299,1.2058338222429588,5.424050983626924,2.523387006428764
36,299,6.286269646990009,1.888272063763004,2.9386679552162356
42,299,3.217289099215574,2.5460065208168996,1.7959740785512897
64,299,2.87322909549369,3.5961832949067394,1.0983332857845707
66,299,4.80399127236646,2.3569266982512582,1.002325017188107
77,299,2.3565872891515904,2.924837171493976,1.1224571222885256
83,299,3.3103545432110657,1.726725230615497,2.1983336477628477
93,299,1.8213077284672623,5.998850863710237,1.5947642680707472
