step,ref_x,ref_y,sim_x,sim_y,err_x,err_y,u_x,u_y
0,-0.2687201379137996,0.10032081692292531,-0.26872111407567334,0.1003286234423221,-9.761618737225142e-07,7.806519396788558e-06,8.624169478938168,-13.988825258885942
1,-0.4561713230230813,-0.004166929167640068,-0.44267411475654955,-0.00528952426259699,0.013497208266531724,-0.0011225950949569213,50.0,-35.219658582822724
2,-0.73604723193421,-0.13175852083458403,-0.6210982262214128,-0.1414491904699671,0.1149490057127972,-0.009690669635383065,50.0,-43.72528749920353
3,-0.9493810273632085,-0.18248797991117055,-0.7963913033725941,-0.19512235690840468,0.1529897239906144,-0.012634376997234131,50.0,-18.355828847020504
4,-1.0216565835707883,-0.06566431773786469,-0.9482606307247873,-0.07133944493181232,0.07339595284600098,-0.005675127193947638,45.731801673431356,35.26412597669804
5,-0.9567403275855628,0.10492561032412831,-0.9224186734804346,0.0887709045136806,0.03432165410512822,-0.016154705810447714,-8.709057964181682,50.0
6,-0.7858701387999723,0.2514671085314642,-0.7696759717232178,0.2404680817171463,0.016194167076754473,-0.010999026814317914,-47.87590801586664,50.0
7,-0.6977494784029112,0.40489501932081146,-0.6900034381530398,0.3996978279301028,0.0077460402498714664,-0.0051971913907086775,-24.79970496417708,49.65981455285866
8,-0.7545001413713144,0.5502580173340901,-0.7507800711375376,0.5477844584125555,0.00372007023377674,-0.0024735589215345577,18.450936561669923,42.08013591561569
9,-0.7269619120586637,0.6379798290675045,-0.7251786039066748,0.636800714492519,0.001783308151988905,-0.0011791145749855403,-9.4388642746293,26.21809481645945
10,-0.6659971779151526,0.6437030337673735,-0.6651443303123168,0.6431482276770711,0.0008528476028357712,-0.00055480609030234,-21.52088428044237,2.199907048285509
11,-0.5926628976398531,0.6488203570108128,-0.5922558707259442,0.6485594192305864,0.00040702691390892554,-0.00026093778022640013,-25.26546063931381,2.1556453189303397
12,-0.6130687984144438,0.6816789960754462,-0.612867688639999,0.6815470320014291,0.0002011097744448742,-0.0001319640740171657,4.30536815081543,7.879254480651272
13,-0.7808583443375341,0.9001445164072127,-0.7723960631870085,0.8684887150089446,0.008462281150525608,-0.03165580139826807,50.0,50.0
14,-0.9398049307003112,1.1186543637288566,-0.9331624855627855,1.0568060486816286,0.006642445137525765,-0.061848315047227986,50.0,50.0
15,-1.1122656224139047,1.2933370406479927,-1.0945874479243962,1.2461025232489127,0.01767817448950848,-0.04723451739908002,50.0,50.0
16,-1.2754858008767254,1.3304551982068102,-1.2643016700340106,1.3079156698715795,0.011184130842714746,-0.022539528335230763,50.0,11.75236513360566
17,-1.4526922748949047,1.1810552865867052,-1.447366086830295,1.170427379700238,0.005326188064609605,-0.010627906886467198,50.0,-47.70577801216293
18,-1.5738126861526802,0.9731518197651003,-1.5679810728335517,1.0188903972855115,0.005831613319128515,0.045738577520411106,29.98587339330488,-50.0
