step,ref_x,ref_y,sim_x,sim_y,err_x,err_y,u_x,u_y
0,-0.2687201379137996,0.10032081692292531,-0.25967716568665233,0.1135893371215119,0.009042972227147283,0.013268520198586584,6.107833476782867,-9.823128126400679
1,-0.4561713230230813,-0.004166929167640068,-0.39953122616117176,0.029513270775989905,0.05664009686190952,0.033680199943629974,39.988646566801926,-28.03484014411692
2,-0.73604723193421,-0.13175852083458403,-0.6411981065523613,-0.08743007533881467,0.09484912538184864,0.044328445495769364,70.0,-39.823204006796004
3,-0.9493810273632085,-0.18248797991117055,-0.8681707913906747,-0.15955249323400927,0.08121023597253385,0.022935486677161276,65.41413219448896,-25.38241905759924
4,-1.0216565835707883,-0.06566431773786469,-0.986419692715115,-0.09780187472550322,0.035236890855673275,-0.03213755698763854,33.91496661009698,17.545489730463316
5,-0.9567403275855628,0.10492561032412831,-0.9730011739180455,0.04545653392379347,-0.016260846332482704,-0.05946907640033484,-5.314954206981789,44.79945004553035
6,-0.7858701387999723,0.2514671085314642,-0.8450219162488218,0.19407197167235682,-0.059151777448849585,-0.05739513685910738,-40.455986434977376,48.657875740709386
7,-0.6977494784029112,0.40489501932081146,-0.7408323152726393,0.3464596626280078,-0.043082836869728025,-0.05843535669280364,-32.72165338308982,48.49464735665382
8,-0.7545001413713144,0.5502580173340901,-0.7502556868308571,0.4947322768210183,0.004244454540457299,-0.0555257405130718,2.474390624139717,43.69391491792695
9,-0.7269619120586637,0.6379798290675045,-0.7378409344343341,0.6009718402272212,-0.0108790223756704,-0.037007988840283335,-5.065990736418251,31.19393009025209
10,-0.6659971779151526,0.6437030337673735,-0.68998926480707,0.6355224882439272,-0.023992086891917452,-0.00818054552344627,-17.284120485431743,10.404430390514351
11,-0.5926628976398531,0.6488203570108128,-0.6229309809283287,0.6469672734234528,-0.030268083288475522,-0.001853083587359916,-23.451268968442466,3.855044106998449
12,-0.6130687984144438,0.6816789960754462,-0.6162755358384511,0.6729055192504554,-0.0032067374240072333,-0.008773476824990856,-4.3368664352871775,6.516407372688352
13,-0.7808583443375341,0.9001445164072127,-0.7340324514095383,0.834343359649612,0.04682589292799577,-0.06580115675760068,36.63568691775768,43.514399323392496
14,-0.9398049307003112,1.1186543637288566,-0.885251365135251,1.041365185998639,0.05455356556506019,-0.0772891777302176,47.52993116669108,55.84429614305848
15,-1.1122656224139047,1.2933370406479927,-1.0521345563012103,1.2271260177938244,0.060131066112694365,-0.06621102285416836,51.71409676873221,48.790273667980195
16,-1.2754858008767254,1.3304551982068102,-1.2169129814409199,1.308000869885951,0.0585728194358055,-0.02245432832085914,48.9084851395757,17.524055323862722
17,-1.4526922748949047,1.1810552865867052,-1.390330437216138,1.2237383369322337,0.062361837678766685,0.04268305034552844,48.16232320821266,-31.696289039105096
18,-1.5738126861526802,0.9731518197651003,-1.5278735635142908,1.0469102676369233,0.045939122638389396,0.07375844787182295,34.86835267026021,-58.03852669114103
19,-1.5501655146292612,0.8620720708229559,-1.5517024582241503,0.9130123553500625,-0.0015369435948890953,0.05094028452710664,0.25366598035384097,-42.10816073170064
20,-1.346702833683102,0.9016296672274995,-1.4127279135660684,0.9022433459087027,-0.06602507988296646,0.0006136786812032113,-47.60228353789703,-1.1945940241516235
21,-1.1347660495492489,1.0463987573154698,-1.2171620763036148,1.004731750568155,-0.08239602675436597,-0.04166700674731483,-62.62251969079024,33.90023217682828
22,-0.896075128198609,1.0930151776478187,-0.9983097808662429,1.072961799450458,-0.10223465266763387,-0.02005337819736064,-70.0,24.023059613497587
23,-0.6689780384318977,0.9959598327653888,-0.7850866024304223,1.0250164909045623,-0.11610856399852454,0.029056658139173464,-70.0,-10.951906129423447
24,-0.4451217398497219,0.9115183021730773,-0.5720504009284779,0.9479740282634374,-0.126928661078756,0.036455726090360074,-70.0,-19.74322904767549
25,-0.2674435687419785,0.716542802264049,-0.3623918161935898,0.7860445240236927,-0.09494824745161129,0.06950172175964375,-70.0,-45.119919325172766
26,-0.07354789922049587,0.4976325859967433,-0.15353970926854066,0.579896294888341,-0.07999181004804479,0.08226370889159773,-69.90542672619289,-58.0691578435729
27,0.061522397371988724,0.3367225667906513,0.0032386994975410754,0.40363057282137865,-0.05828369787444765,0.06690800603072733,-52.436103485147385,-50.03171121267804
28,0.15778824107672595,0.3036680488465121,0.11643842826087047,0.32838471232481253,-0.04134981281585548,0.024716663478300427,-36.304426807778505,-20.57741517256976
29,0.2225374613432538,0.46753876250943843,0.19472756980094708,0.4241431432497199,-0.02780989154230673,-0.04339561925971852,-21.62188428084024,29.556611495360656
30,0.38138524570405163,0.621067274321833,0.3285365927124799,0.567080898296744,-0.05284865299157171,-0.053986376025088934,-37.338635254189406,44.51906812312693
31,0.5374715767386846,0.6415259146541221,0.4807995927453579,0.6257237266192531,-0.056671983993326736,-0.01580218803486899,-43.99055654831259,19.36165863468526
32,0.6675860709270114,0.5127594821103391,0.6186432232838659,0.5497922325010165,-0.04894284764314549,0.03703275039067744,-41.494297610676426,-21.162674850317522
33,0.7782085430385881,0.370438506974579,0.7373929654700493,0.42219299724094805,-0.04081557756853882,0.05175449026636908,-36.04833166417753,-36.68643646240821
34,0.8034886813157185,0.3771746750230811,0.7904597024733993,0.3867137300238613,-0.013028978842319239,0.009539055000780172,-13.563685512074697,-10.474220841646673
35,0.8018273348068359,0.5137298188339646,0.8029522904267252,0.47543697183833217,0.0011249556198893451,-0.03829284699563246,1.571870611228773,25.544662889021946
36,0.8091919382604409,0.6443233277512423,0.8106486052620956,0.59821869612217,0.001456667001654699,-0.0461046316290723,3.79409866270835,35.21941522209182
37,0.81993886375729,0.8851993140020771,0.8205272256788323,0.804763388657612,0.0005883619215423241,-0.08043592534446509,4.840377304508948,59.7400769580238
38,0.8294260636847259,1.088669145563973,0.8302160749818681,1.012811397733129,0.0007900112971421791,-0.07585774783084398,4.982319999603018,59.607416597670515
39,0.8157309721801584,1.3139023425508598,0.8235631579557263,1.2328443415791415,0.00783218577556788,-0.08105800097171834,10.265229280193273,62.32718164076804
40,0.659177246154629,1.5432393728448521,0.7113110623683763,1.4601284632513187,0.05213381621374724,-0.0831109095935334,42.80200562466755,61.513485886771804
41,0.4721349478669725,1.751997596651326,0.5425071754716044,1.675048229090991,0.07037222760463191,-0.07694936756033499,59.519450649266886,56.13060876588382
42,0.3063687676100306,1.9375863377699698,0.3737599949506858,1.8691700715466109,0.06739122734065517,-0.06841626622335895,58.53088912173687,49.744345835971025
43,0.2652348865513441,1.9801960391860538,0.2941999483452884,1.9565954026225891,0.028965061793944313,-0.023600636563464672,28.527845481472422,20.20470486632619
44,0.2598912226018584,1.85383916227206,0.2697818059788303,1.8903598336673886,0.009890583376971906,0.03652067139532855,8.342942490239798,-24.05667936126339
45,0.27358029763337677,1.629025956804981,0.27361604815199536,1.7078372944731939,3.5750518618593574e-05,0.07881133766821291,-2.7827381333167764,-57.92292240078762
46,0.3048843539448862,1.4543558682246656,0.29745404828767463,1.527072012099334,-0.007430305657211589,0.0727161438746684,-9.02675625883995,-56.93499049526866
47,0.3306512927985148,1.265138857513762,0.3232503837787659,1.3408352026615828,-0.00740090901974888,0.07569634514782075,-9.765805489412974,-58.463958779500466
