step,ref_x,ref_y,sim_x,sim_y,err_x,err_y,u_x,u_y
0,-0.2687201379137996,0.10032081692292531,-0.26872111407567334,0.1003286234423221,-9.761618737225142e-07,7.806519396788558e-06,8.624169478938168,-13.988825258885942
1,-0.4561713230230813,-0.004166929167640068,-0.44267421495567966,-0.0052910749482641545,0.01349710806740162,-0.0011241457806240862,50.0,-35.22012155403603
2,-0.73604723193421,-0.13175852083458403,-0.6210987152117674,-0.14145675875892574,0.11494851672244255,-0.009698237924341713,50.0,-43.72707654963102
3,-0.9493810273632085,-0.18248797991117055,-0.7963934749884058,-0.19515606886740083,0.15298755237480266,-0.012668088956230283,50.0,-18.363597536264415
4,-1.0216565835707883,-0.06566431773786469,-0.962078030380812,-0.07026451717297197,0.05957855318997629,-0.004600199435107283,50.0,35.24485976524628
5,-0.9567403275855628,0.10492561032412831,-0.9410846049896575,0.09027143754713982,0.015655722595905308,-0.014654172776988494,-7.24981021281191,50.0
6,-0.7858701387999723,0.2514671085314642,-0.7819618370951343,0.2414293598231807,0.003908301704837913,-0.0100377487082835,-49.902856809724696,50.0
7,-0.6977494784029112,0.40489501932081146,-0.6967379345170386,0.4013155518345106,0.0010115438858726566,-0.0035794674863008358,-26.53572720038604,50.0
8,-0.7545001413713144,0.5502580173340901,-0.75421123918672,0.5492567549059453,0.0002889021845944306,-0.0010012624281448002,17.407934700529616,42.12052705270427
9,-0.7269619120586637,0.6379798290675045,-0.7268794031258136,0.6376913284730137,8.250893285011163e-05,-0.0002885005944908148,-9.993620623322137,26.087288533468865
10,-0.6659971779151526,0.6437030337673735,-0.6659747771441444,0.6436237792567919,2.240077100812421e-05,-7.925451058155009e-05,-21.802139038676135,2.097501199852474
11,-0.5926628976398531,0.6488203570108128,-0.5926576680731668,0.648798426829784,5.229566686359988e-06,-2.1930181028806395e-05,-25.40472346847945,2.0955671491444057
12,-0.6130687984144438,0.6816789960754462,-0.613060950613766,0.6816635768290747,7.847800677862615e-06,-1.5419246371495277e-05,4.2373955145463125,7.847813748141868
13,-0.7808583443375341,0.9001445164072127,-0.7725914694423074,0.8686059676881318,0.008266874895226706,-0.031538548719080906,50.0,50.0
14,-0.9398049307003112,1.1186543637288566,-0.9333595401233286,1.056923733479863,0.006445390576982679,-0.06173063024899372,50.0,50.0
15,-1.1122656224139047,1.2933370406479927,-1.0947855700137847,1.2462203985462725,0.01748005240011996,-0.047116642101720174,50.0,50.0
16,-1.2754858008767254,1.3304551982068102,-1.2639125619880418,1.3171284670464014,0.011573238888683557,-0.013326731160408833,50.0,14.467733698908818
17,-1.4526922748949047,1.1810552865867052,-1.4470558243416263,1.1772618579376792,0.005636450553278438,-0.003793428649025987,50.0,-48.427386420538355
18,-1.5738126861526802,0.9731518197651003,-1.5687601280881882,1.0258538584876402,0.005052558064492008,0.05270203872253987,30.33896311898842,-50.0
19,-1.5501655146292612,0.8620720708229559,-1.5486204196896471,0.8763779422690243,0.0015450949396140778,0.01430587144606843,-13.64315299053388,-45.59356700173914
20,-1.346702833683102,0.9016296672274995,-1.399157973244086,0.9100012632312335,-0.05245513956098402,0.00837159600373405,-50.0,12.32634723739069
21,-1.1347660495492489,1.0463987573154698,-1.2417290832441206,1.056398600346843,-0.1069630336948717,0.009999843031373246,-50.0,45.95765316917453
22,-0.896075128198609,1.0930151776478187,-1.0887722459768345,1.109358386668534,-0.1926971177782255,0.016343209020715177,-50.0,17.73564903096727
23,-0.6689780384318977,0.9959598327653888,-0.9438295358592153,1.0188185013810753,-0.2748514974273175,0.022858668615686528,-50.0,-25.304043370893453
24,-0.4451217398497219,0.9115183021730773,-0.7974704068296218,0.9406157076527758,-0.35234866697989986,0.029097405479698524,-50.0,-21.564746638903276
25,-0.2674435687419785,0.716542802264049,-0.6562458744640463,0.7670304162471631,-0.38880230572206775,0.05048761398311408,-50.0,-50.0
26,-0.07354789922049587,0.4976325859967433,-0.5141089027439281,0.5923036407963225,-0.4405610035234322,0.09467105479957916,-50.0,-50.0
27,0.061522397371988724,0.3367225667906513,-0.37061675486099815,0.41606401321114306,-0.4321391522329869,0.07934144642049173,-50.0,-50.0
28,0.15778824107672595,0.3036680488465121,-0.21841058147953818,0.34606458703107845,-0.37619882255626413,0.042396538184566346,-50.0,-17.716352960573133
29,0.2225374613432538,0.46753876250943843,-0.049926082422638296,0.4925104981982614,-0.2724635437658921,0.024971735688822994,-50.0,47.09474498093439
30,0.38138524570405163,0.621067274321833,0.12161173937951597,0.6429034429978334,-0.25977350632453566,0.021836168676000467,-50.0,47.57549966297415
31,0.5374715767386846,0.6415259146541221,0.28760675133014235,0.6620150508349748,-0.24986482540854227,0.020489136180852685,-50.0,7.774146791651607
32,0.6675860709270114,0.5127594821103391,0.44657448872019523,0.5307026855762528,-0.22101158220681616,0.017943203465913715,-50.0,-37.19417833775644
33,0.7782085430385881,0.370438506974579,0.6069479578353254,0.38420459625796716,-0.1712605852032627,0.013766089283388183,-50.0,-41.22030137516043
34,0.8034886813157185,0.3771746750230811,0.7559561539390907,0.3805615480064577,-0.04753252737662783,0.0033868729833765876,-42.97521597737337,1.4934479232607074
35,0.8018273348068359,0.5137298188339646,0.7886603716122143,0.5145413890590247,-0.013166963194621628,0.0008115702250600654,-3.877523009490543,39.49671233877928
36,0.8091919382604409,0.6443233277512423,0.8055606716540338,0.6445040405076004,-0.003631266606407113,0.00018071275635800355,1.0618025846262722,37.43762127434421
37,0.81993886375729,0.8851993140020771,0.8146834826237568,0.818806310115084,-0.005255381133533188,-0.0663930038869931,4.419438272413937,50.0
38,0.8294260636847259,1.088669145563973,0.8229466326999264,0.9947547248779655,-0.006479430984799528,-0.09391442068600753,4.761438415875148,50.0
39,0.8157309721801584,1.3139023425508598,0.8063626503804027,1.174037073545923,-0.009368321799755774,-0.1398652690049369,12.484648681951292,50.0
40,0.659177246154629,1.5432393728448521,0.6681700774816062,1.3646148701693352,0.008992831326977146,-0.17862450267551688,50.0,50.0
41,0.4721349478669725,1.751997596651326,0.5283923902710947,1.5564531626577307,0.056257442404122227,-0.19554443399359522,50.0,50.0
42,0.3063687676100306,1.9375863377699698,0.3870796479315781,1.7491668178597988,0.0807108803215475,-0.18841951991017103,50.0,50.0
43,0.2652348865513441,1.9801960391860538,0.28720907001237883,1.9292902806276642,0.021974183461034746,-0.050905758558389635,36.58666690645476,47.18651304195073
44,0.2598912226018584,1.85383916227206,0.2658851934711788,1.8400938683008703,0.005993970869320409,-0.013745293971189732,6.891397583543597,-30.81606186370171
45,0.27358029763337677,1.629025956804981,0.2789819109955143,1.6835362812588328,0.005401613362137514,0.054510324453851844,-5.168778513831217,-50.0
46,0.3048843539448862,1.4543558682246656,0.31014833793427,1.5254943069494478,0.005263983989383769,0.0711384387247822,-10.825855060341432,-50.0
47,0.3306512927985148,1.265138857513762,0.33763727353917816,1.3675970206055919,0.006985980740663367,0.10245816309182976,-9.674419377163936,-50.0
48,0.38118657470634254,1.1279139812441938,0.3866909836433614,1.2074843731240028,0.005504408937018868,0.07957039187980897,-16.314261076363344,-50.0
49,0.5335081873178269,1.1243982289126886,0.5352121749641412,1.1459843541996144,0.0017039876463142978,0.021586125286925828,-44.77992181765739,-18.009838374145335
50,0.7372962632117974,1.2920115499873899,0.7166259535568453,1.299655519618761,-0.02067030965495209,0.007643969631371039,-50.0,46.878552252003026
51,0.9357165188778263,1.4274103112941292,0.8989460843334578,1.4320679809813148,-0.03677043454436846,0.004657669687185617,-50.0,40.58465573218627
52,1.0963694596679774,1.440938405416099,1.0752086800847243,1.443059390039827,-0.02116077958325313,0.002120984623728006,-50.0,4.5622165780990205
53,1.2548848444461829,1.3862521956279479,1.2485795062828893,1.3868297916696055,-0.0063053381632935945,0.0005775960416576353,-50.0,-15.179075368186039
54,1.38026591453793,1.4110551874854966,1.3785063816488896,1.4111970068635316,-0.001759532889040294,0.00014181937803492417,-34.656581419669784,7.972778996390616
55,1.3840306518211318,1.5854498220785356,1.3835559753235267,1.5854593019744736,-0.000474676497605131,9.479895938024896e-06,6.874049951540208,49.560379913626726
56,1.2633867580450815,1.807895184742974,1.2609579758406395,1.7719207566272916,-0.0024287822044419816,-0.03597442811568241,46.17113931549837,50.0
57,1.1814747475857406,1.9807708398846136,1.1797155816698404,1.955239229959921,-0.001759165915900196,-0.0255316099246925,33.05577187699547,50.0
58,1.2384274762966472,2.028269796487923,1.237879618580251,2.021338965590837,-0.0005478577163962051,-0.0069308308970859045,-12.398617307063226,18.740639351371673
59,1.4341454787131123,2.126028230983232,1.4208078638499537,2.1252399228379453,-0.013337614863158542,-0.0007883081452866314,-50.0,33.30747177871243
60,1.5912841573139596,2.1600904398375507,1.5875591323723905,2.159838038574334,-0.0037250249415690107,-0.00025240126321657286,-46.42495540916534,12.800922509401198
61,1.7485800448297346,2.0634461875152303,1.7475305288434897,2.0633903410218046,-0.00104951598624492,-5.584649342571524e-05,-46.9952078139348,-25.965625709938664
62,1.89050203763327,1.992585048793567,1.8901929165115652,1.992583747619701,-0.0003091211217047807,-1.3011738659862715e-06,-41.074674105011546,-18.702309058663584
63,2.0234038701909416,1.9478044069008957,2.0232987371441973,1.947814224050508,-0.00010513304674431012,9.817149612345588e-06,-37.59200687834621,-11.144357778966631
64,2.128762566713649,2.087382389866344,2.1287064446049833,2.0873493106284484,-5.612210866567935e-05,-3.3079237895528024e-05,-25.458658084305984,42.93849206813366
65,2.1957421839600357,2.2676292153756172,2.1947909756202715,2.253487451911291,-0.0009512083397642535,-0.014141763464326385,-13.2224684279709,50.0
66,2.3019271097071714,2.3994708073945525,2.3015998701045928,2.395595133483676,-0.0003272396025786328,-0.0038756739108767313,-26.60826996278343,44.02527021196766
