[16/54] soft-fs-grid-016: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-016 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.001 --fs-beta 0.01 --fs-eta-d 0.005
[17/54] soft-fs-grid-017: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-017 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.001 --fs-beta 0.01 --fs-eta-d 0.01
[18/54] soft-fs-grid-018: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-018 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.001 --fs-beta 0.01 --fs-eta-d 0.03
[19/54] soft-fs-grid-019: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-019 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.01 --fs-beta 0.0001 --fs-eta-d 0.005
[20/54] soft-fs-grid-020: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-020 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.01 --fs-beta 0.0001 --fs-eta-d 0.01
[21/54] soft-fs-grid-021: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-021 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.01 --fs-beta 0.0001 --fs-eta-d 0.03
[22/54] soft-fs-grid-022: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-022 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.01 --fs-beta 0.001 --fs-eta-d 0.005
[23/54] soft-fs-grid-023: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-023 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.01 --fs-beta 0.001 --fs-eta-d 0.01
[24/54] soft-fs-grid-024: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-024 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.01 --fs-beta 0.001 --fs-eta-d 0.03
[25/54] soft-fs-grid-025: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-025 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.01 --fs-beta 0.01 --fs-eta-d 0.005
